"specimenID","assay","platform","dnaBatch","sequencingBatch","libraryPrep","libraryPreparationMethod","readLength","runType","totalReads","numberCells","260/280","260/230","GQN"
68411,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68416,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68419,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68420,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68422,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68423,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68424,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68425,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68427,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68428,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68430,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68431,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68433,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68434,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68435,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68454,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68455,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68515,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68522,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68586,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68622,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68624,"wholeGenomeSeq","HiSeqX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
