ENSG	Symbol	Mapping	DrugBank
ENSG00000064687	ABCA7	Positional;eQTLcatalogue/BLUEPRINT_ge_monocyte:eQTLcatalogue/BLUEPRINT_ge_neutrophil:eQTLcatalogue/BLUEPRINT_ge_T-cell:eQTLcatalogue/CEDAR_monocyte_CD14:eQTLcatalogue/CEDAR_neutrophil_CD15:eQTLcatalogue/Fairfax_2014_naive:eQTLcatalogue/Lepik_2017_ge_blood:eQTLcatalogue/Naranbhai_2015_neutrophil_CD16:eQTLcatalogue/Quach_2016_ge_monocyte_naive:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:CMC_SVA_cis:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Spinal_cord_cervical_c-1:GTEx/v8/Spleen	NA
ENSG00000005471	ABCB4	eQTLGen_trans_eQTLs	NA
ENSG00000119688	ABCD4	eQTLGen_trans_eQTLs	NA
ENSG00000160179	ABCG1	eQTLGen_trans_eQTLs	DB00171
ENSG00000204427	ABHD16A	CMC_SVA_cis:GTEx/v8/Whole_Blood	NA
ENSG00000108798	ABI3	Positional	NA
ENSG00000099204	ABLIM1	eQTLGen_trans_eQTLs	NA
ENSG00000222482	AC005071.1	Positional;BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000267044	AC005757.6	Positional;PsychENCODE_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000267037	AC005757.7	Positional;BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000225157	AC005779.1	Positional;BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000267545	AC005779.2	Positional;BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000266958	AC006126.3	Positional;PsychENCODE_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000267045	AC006126.4	Positional	NA
ENSG00000264133	AC006953.1	Positional	NA
ENSG00000233762	AC007969.5	eQTLGen_trans_eQTLs	NA
ENSG00000248166	AC008984.2	Positional;eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000251431	AC008984.5	Positional;BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000250507	AC008984.6	Positional	NA
ENSG00000234436	AC008984.7	Positional;eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Whole_Blood	NA
ENSG00000268434	AC011530.4	Positional;PsychENCODE_eQTLs	NA
ENSG00000267020	AC011558.5	Positional;BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000234327	AC012146.7	Positional;eQTLcatalogue/BrainSeq_ge_brain:eQTLcatalogue/CEDAR_T-cell_CD4:eQTLcatalogue/Fairfax_2012_B-cell_CD19:eQTLcatalogue/Kasela_2017_T-cell_CD4:eQTLcatalogue/Kasela_2017_T-cell_CD8:eQTLcatalogue/Nedelec_2016_ge_macrophage_naive:PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel:GTEx/v8/Spleen	NA
ENSG00000236655	AC023347.2	PsychENCODE_eQTLs	NA
ENSG00000225798	AC025918.2	Positional	NA
ENSG00000267144	AC067968.3	Positional	NA
ENSG00000236682	AC068282.3	eQTLGen_cis_eQTLs:GTEx/v8/Whole_Blood	NA
ENSG00000235077	AC073842.19	Positional;GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum	NA
ENSG00000237452	AC074212.3	Positional	NA
ENSG00000259605	AC074212.5	Positional	NA
ENSG00000267395	AC074212.6	Positional	NA
ENSG00000267163	AC084219.3	Positional;PsychENCODE_eQTLs	NA
ENSG00000186019	AC084219.4	Positional	NA
ENSG00000265467	AC090559.1	Positional	NA
ENSG00000265910	AC090559.2	Positional	NA
ENSG00000236807	AC092066.6	Positional;PsychENCODE_eQTLs	NA
ENSG00000266372	AC092849.1	Positional	NA
ENSG00000232533	AC093673.5	Positional;eQTLGen_cis_eQTLs:BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000224738	AC099850.1	eQTLGen_cis_eQTLs	NA
ENSG00000233850	AC103563.8	eQTLGen_trans_eQTLs	NA
ENSG00000224366	AC138472.4	Positional;BIOSQTL/BIOS_eQTL_geneLevel	NA
ENSG00000267614	AC138472.6	Positional	NA
